SPECIES,LAKE,STREAM,REACH,DATE,YEAR,MONTH,DAY,GROUND_LIVE,GROUND_DEAD,GROUND_NEW_DEAD,TEMP_C,COMMENTS,FENCE_PASS,AIR_LIVE,GROUND_INTERP,FENCE_INTERP,ADDED_0,DOY,INCLUDED
KOKANEE,WOOD,MIDDLE_VERNON,B-D,40804,2011,9,18,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,260,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,40849,2011,11,2,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,305,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,41535,2013,9,18,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,260,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,41580,2013,11,2,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,305,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,41900,2014,9,18,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,260,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,41945,2014,11,2,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,305,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,42265,2015,9,18,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,260,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,42310,2015,11,2,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,305,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,42630,2016,9,17,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,260,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,42675,2016,11,1,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,305,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,42996,2017,9,18,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,260,Y
KOKANEE,WOOD,MIDDLE_VERNON,B-D,43041,2017,11,2,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,305,Y
KOKANEE,KALAMALKA,COLDSTREAM,ALL,43723,2019,9,15,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,257,Y
KOKANEE,KALAMALKA,COLDSTREAM,ALL,43768,2019,10,30,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,302,Y
KOKANEE,KALAMALKA,COLDSTREAM,ALL,44088,2020,9,14,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,257,Y
KOKANEE,KALAMALKA,COLDSTREAM,ALL,44133,2020,10,29,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,302,Y
KOKANEE,KALAMALKA,COLDSTREAM,ALL,44454,2021,9,15,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,257,Y
KOKANEE,KALAMALKA,COLDSTREAM,ALL,44499,2021,10,30,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,302,Y
KOKANEE,KALAMALKA,COLDSTREAM,ALL,44819,2022,9,15,0,,,,ADDED_0 observations to ensure total potential spawning period is defined for AUC ests,,,1,,1,257,Y
