"SPECIES","LAKE","STREAM","REACH","DATE","YEAR","MONTH","DAY","GROUND_LIVE","GROUND_DEAD","GROUND_NEW_DEAD","TEMP_C","COMMENTS","FENCE_PASS","AIR_LIVE","GROUND_INTERP","FENCE_INTERP","ADDED_0","DOY","INCLUDED","STREAM_YR","KO_sim"
"KOKANEE","OKANAGAN","MISSION","E",37138,2001,9,4,67,0,NA,NA,"",NA,NA,0,0,0,247,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37139,2001,9,5,113,0,NA,NA,"",NA,NA,0,0,0,248,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37140,2001,9,6,272,0,NA,NA,"",NA,NA,0,0,0,249,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37141,2001,9,7,550,3,NA,NA,"",NA,NA,0,0,0,250,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37142,2001,9,8,837,1,NA,12.5,"8 IN SETL.POND",NA,NA,0,0,0,251,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37143,2001,9,9,1110,0,NA,NA,"",NA,NA,0,0,0,252,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37144,2001,9,10,1556,5,NA,15,"3 IN SETL.POND",NA,NA,0,0,0,253,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37144,2001,9,10,1554,1,NA,NA,"",NA,NA,0,0,0,253,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37145,2001,9,11,2067,8,NA,NA,"",NA,NA,0,0,0,254,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37146,2001,9,12,2611,13,NA,15,"7 IN SETL.POND",NA,NA,0,0,0,255,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37147,2001,9,13,2788,8,NA,NA,"",NA,NA,0,0,0,256,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37148,2001,9,14,4175,38,NA,13.5,"18 IN SETL. PON",NA,NA,0,0,0,257,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37148,2001,9,14,4157,30,NA,NA,"",NA,NA,0,0,0,257,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37149,2001,9,15,4468,13,NA,NA,"",NA,NA,0,0,0,258,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37150,2001,9,16,3840,47,NA,13.5,"18 IN SETL. PON",NA,NA,0,0,0,259,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37151,2001,9,17,3370,54,NA,NA,"",NA,NA,0,0,0,260,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37152,2001,9,18,2845,273,NA,16,"11 IN SETL. PON",NA,NA,0,0,0,261,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37152,2001,9,18,2963,55,NA,NA,"",NA,NA,0,0,0,261,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37153,2001,9,19,2559,124,NA,NA,"",NA,NA,0,0,0,262,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37154,2001,9,20,1891,104,NA,NA,"",NA,NA,0,0,0,263,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37155,2001,9,21,1365,181,NA,NA,"",NA,NA,0,0,0,264,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37156,2001,9,22,1017,62,NA,14,"",NA,NA,0,0,0,265,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37157,2001,9,23,913,76,NA,NA,"",NA,NA,0,0,0,266,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37158,2001,9,24,728,67,NA,13,"",NA,NA,0,0,0,267,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37159,2001,9,25,472,61,NA,NA,"",NA,NA,0,0,0,268,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37160,2001,9,26,600,0,NA,NA,"",NA,NA,0,0,0,269,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37160,2001,9,26,281,33,NA,NA,"",NA,NA,0,0,0,269,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37161,2001,9,27,219,18,NA,NA,"",NA,NA,0,0,0,270,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37162,2001,9,28,257,25,NA,NA,"",NA,NA,0,0,0,271,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37163,2001,9,29,236,18,NA,NA,"",NA,NA,0,0,0,272,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37164,2001,9,30,198,9,NA,NA,"",NA,NA,0,0,0,273,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37165,2001,10,1,213,11,NA,NA,"",NA,NA,0,0,0,274,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37166,2001,10,2,196,7,NA,NA,"",NA,NA,0,0,0,275,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37167,2001,10,3,48,60,NA,8.5,"",NA,NA,0,0,0,276,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37167,2001,10,3,159,8,NA,NA,"",NA,NA,0,0,0,276,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37168,2001,10,4,130,2,NA,NA,"",NA,NA,0,0,0,277,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37169,2001,10,5,106,2,NA,NA,"",NA,NA,0,0,0,278,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37170,2001,10,6,85,1,NA,NA,"",NA,NA,0,0,0,279,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37171,2001,10,7,49,8,NA,NA,"",NA,NA,0,0,0,280,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37172,2001,10,8,34,5,NA,NA,"",NA,NA,0,0,0,281,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37173,2001,10,9,27,2,NA,NA,"",NA,NA,0,0,0,282,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37174,2001,10,10,17,3,NA,NA,"",NA,NA,0,0,0,283,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37175,2001,10,11,10,1,NA,NA,"",NA,NA,0,0,0,284,"Y","MISSION_2001",1
"KOKANEE","OKANAGAN","MISSION","E",37500,2002,9,1,0,0,NA,NA,"CHANNEL",NA,NA,0,0,0,244,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37501,2002,9,2,3,0,NA,NA,"CHANNEL",NA,NA,0,0,0,245,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37502,2002,9,3,25,0,NA,NA,"CHANNEL",NA,NA,0,0,0,246,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37503,2002,9,4,20,1,NA,NA,"CHANNEL",NA,NA,0,0,0,247,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37504,2002,9,5,32,1,NA,NA,"CHANNEL",NA,NA,0,0,0,248,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37505,2002,9,6,28,0,NA,NA,"CHANNEL",NA,NA,0,0,0,249,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37506,2002,9,7,30,0,NA,NA,"CHANNEL",NA,NA,0,0,0,250,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37507,2002,9,8,107,0,NA,16,"",NA,NA,0,0,0,251,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37508,2002,9,9,129,7,NA,NA,"CHANNEL",NA,NA,0,0,0,252,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37509,2002,9,10,206,0,NA,15.5,"",NA,NA,0,0,0,253,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37510,2002,9,11,295,0,NA,NA,"CHANNEL",NA,NA,0,0,0,254,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37511,2002,9,12,407,2,NA,17.5,"",NA,NA,0,0,0,255,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37512,2002,9,13,415,3,NA,NA,"CHANNEL",NA,NA,0,0,0,256,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37513,2002,9,14,551,8,NA,16.5,"",NA,NA,0,0,0,257,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37514,2002,9,15,631,5,NA,NA,"CHANNEL",NA,NA,0,0,0,258,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37515,2002,9,16,760,21,NA,15.5,"",NA,NA,0,0,0,259,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37516,2002,9,17,847,42,NA,NA,"CHANNEL",NA,NA,0,0,0,260,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37517,2002,9,18,884,40,NA,13,"",NA,NA,0,0,0,261,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37518,2002,9,19,944,55,NA,NA,"CHANNEL",NA,NA,0,0,0,262,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37519,2002,9,20,1202,43,NA,11.5,"",NA,NA,0,0,0,263,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37520,2002,9,21,1120,54,NA,NA,"CHANNEL",NA,NA,0,0,0,264,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37521,2002,9,22,1441,49,NA,12,"",NA,NA,0,0,0,265,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37522,2002,9,23,1511,59,NA,NA,"CHANNEL",NA,NA,0,0,0,266,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37523,2002,9,24,1415,57,NA,11.5,"",NA,NA,0,0,0,267,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37524,2002,9,25,1338,71,NA,NA,"CHANNEL",NA,NA,0,0,0,268,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37525,2002,9,26,1362,81,NA,10,"",NA,NA,0,0,0,269,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37526,2002,9,27,1188,115,NA,NA,"CHANNEL",NA,NA,0,0,0,270,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37527,2002,9,28,1085,113,NA,13,"",NA,NA,0,0,0,271,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37528,2002,9,29,765,135,NA,NA,"CHANNEL",NA,NA,0,0,0,272,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37529,2002,9,30,705,77,NA,11,"",NA,NA,0,0,0,273,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37530,2002,10,1,541,79,NA,NA,"CHANNEL",NA,NA,0,0,0,274,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37531,2002,10,2,458,47,NA,NA,"CHANNEL",NA,NA,0,0,0,275,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37532,2002,10,3,360,NA,NA,9.5,"",NA,NA,0,0,0,276,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37533,2002,10,4,277,34,NA,NA,"CHANNEL",NA,NA,0,0,0,277,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37534,2002,10,5,239,33,NA,NA,"CHANNEL",NA,NA,0,0,0,278,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37535,2002,10,6,191,39,NA,NA,"CHANNEL",NA,NA,0,0,0,279,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37536,2002,10,7,131,28,NA,NA,"CHANNEL",NA,NA,0,0,0,280,"Y","MISSION_2002",1
"KOKANEE","OKANAGAN","MISSION","E",37537,2002,10,8,98,13,NA,NA,"CHANNEL",NA,NA,0,0,0,281,"Y","MISSION_2002",1
