STREAM_YR,STREAM,NUM_DATE,DOY,DATE,DAY,MONTH,YEAR,LIVE_COUNT,SOURCE
COLDSTREAM_2019,COLDSTREAM,NA,263,21/09/2019,21,9,2019,0,ADDED_0
COLDSTREAM_2019,COLDSTREAM,43735,269,27/09/2019,27,9,2019,3202,OBSERVED
COLDSTREAM_2019,COLDSTREAM,43739,273,01/10/2019,1,10,2019,7413,OBSERVED
COLDSTREAM_2019,COLDSTREAM,43742,276,04/10/2019,4,10,2019,9352,OBSERVED
COLDSTREAM_2019,COLDSTREAM,43745,279,07/10/2019,7,10,2019,13150,OBSERVED
COLDSTREAM_2019,COLDSTREAM,43748,282,10/10/2019,10,10,2019,9701,OBSERVED
COLDSTREAM_2019,COLDSTREAM,43751,285,13/10/2019,13,10,2019,8752,OBSERVED
COLDSTREAM_2019,COLDSTREAM,43753,287,15/10/2019,15,10,2019,7435,OBSERVED
COLDSTREAM_2019,COLDSTREAM,43756,290,18/10/2019,18,10,2019,5564,OBSERVED
COLDSTREAM_2019,COLDSTREAM,43760,294,22/10/2019,22,10,2019,2701,OBSERVED
COLDSTREAM_2019,COLDSTREAM,NA,303,31/10/2019,31,10,2019,0,ADDED_0
COLDSTREAM_2020,COLDSTREAM,NA,264,21/09/2020,21,9,2020,0,ADDED_0
COLDSTREAM_2020,COLDSTREAM,44102,271,28/09/2020,28,9,2020,2330,OBSERVED
COLDSTREAM_2020,COLDSTREAM,44105,274,01/10/2020,1,10,2020,2831,OBSERVED
COLDSTREAM_2020,COLDSTREAM,44108,277,04/10/2020,4,10,2020,3425,OBSERVED
COLDSTREAM_2020,COLDSTREAM,44111,280,07/10/2020,7,10,2020,3408,OBSERVED
COLDSTREAM_2020,COLDSTREAM,44114,283,10/10/2020,10,10,2020,3932,OBSERVED
COLDSTREAM_2020,COLDSTREAM,44117,286,13/10/2020,13,10,2020,2366,OBSERVED
COLDSTREAM_2020,COLDSTREAM,44119,288,15/10/2020,15,10,2020,1812,OBSERVED
COLDSTREAM_2020,COLDSTREAM,44122,291,18/10/2020,18,10,2020,1408,OBSERVED
COLDSTREAM_2020,COLDSTREAM,NA,304,31/10/2020,31,10,2020,0,ADDED_0
COLDSTREAM_2021,COLDSTREAM,NA,263,21/09/2021,21,9,2021,0,ADDED_0
COLDSTREAM_2021,COLDSTREAM,NA,270,28/09/2021,28,9,2021,603,OBSERVED
COLDSTREAM_2021,COLDSTREAM,NA,273,01/10/2021,1,10,2021,1010,OBSERVED
COLDSTREAM_2021,COLDSTREAM,NA,276,04/10/2021,4,10,2021,1380,OBSERVED
COLDSTREAM_2021,COLDSTREAM,NA,282,10/10/2021,10,10,2021,4183,OBSERVED
COLDSTREAM_2021,COLDSTREAM,NA,287,15/10/2021,15,10,2021,4158,OBSERVED
COLDSTREAM_2021,COLDSTREAM,NA,290,18/10/2021,18,10,2021,3721,OBSERVED
COLDSTREAM_2021,COLDSTREAM,NA,295,23/10/2021,23,10,2021,4423,OBSERVED
COLDSTREAM_2021,COLDSTREAM,NA,303,31/10/2021,31,10,2021,0,ADDED_0
COLDSTREAM_2022,COLDSTREAM,NA,263,21/09/2022,21,9,2022,0,ADDED_0
COLDSTREAM_2022,COLDSTREAM,NA,270,28/09/2022,28,9,2022,389,OBSERVED
COLDSTREAM_2022,COLDSTREAM,NA,274,02/10/2022,2,10,2022,848,OBSERVED
COLDSTREAM_2022,COLDSTREAM,NA,278,06/10/2022,6,10,2022,1353,OBSERVED
COLDSTREAM_2022,COLDSTREAM,NA,282,10/10/2022,10,10,2022,3022,OBSERVED
COLDSTREAM_2022,COLDSTREAM,NA,285,13/10/2022,13,10,2022,3592,OBSERVED
COLDSTREAM_2022,COLDSTREAM,NA,291,19/10/2022,19,10,2022,2817,OBSERVED
COLDSTREAM_2022,COLDSTREAM,NA,295,23/10/2022,23,10,2022,2367,OBSERVED
COLDSTREAM_2022,COLDSTREAM,NA,303,31/10/2022,31,10,2022,0,ADDED_0
MIDDLE_VERNON_2011,MIDDLE_VERNON,NA,263,21/09/2011,21,9,2011,0,ADDED_0
MIDDLE_VERNON_2011,MIDDLE_VERNON,40814,270,28/09/2011,28,9,2011,10,OBSERVED
MIDDLE_VERNON_2011,MIDDLE_VERNON,40817,273,01/10/2011,1,10,2011,55,OBSERVED
MIDDLE_VERNON_2011,MIDDLE_VERNON,40820,276,04/10/2011,4,10,2011,842,OBSERVED
MIDDLE_VERNON_2011,MIDDLE_VERNON,40823,279,07/10/2011,7,10,2011,1880,OBSERVED
MIDDLE_VERNON_2011,MIDDLE_VERNON,40826,282,10/10/2011,10,10,2011,2332,OBSERVED
MIDDLE_VERNON_2011,MIDDLE_VERNON,40829,285,13/10/2011,13,10,2011,2442,OBSERVED
MIDDLE_VERNON_2011,MIDDLE_VERNON,40832,288,16/10/2011,16,10,2011,2003,OBSERVED
MIDDLE_VERNON_2011,MIDDLE_VERNON,40835,291,19/10/2011,19,10,2011,1343,OBSERVED
MIDDLE_VERNON_2011,MIDDLE_VERNON,40838,294,22/10/2011,22,10,2011,980,OBSERVED
MIDDLE_VERNON_2011,MIDDLE_VERNON,NA,303,31/10/2011,31,10,2011,0,ADDED_0
MIDDLE_VERNON_2013,MIDDLE_VERNON,NA,263,21/09/2013,21,9,2013,0,ADDED_0
MIDDLE_VERNON_2013,MIDDLE_VERNON,41545,270,28/09/2013,28,9,2013,39,OBSERVED
MIDDLE_VERNON_2013,MIDDLE_VERNON,41548,273,01/10/2013,1,10,2013,298,OBSERVED
MIDDLE_VERNON_2013,MIDDLE_VERNON,41551,276,04/10/2013,4,10,2013,526,OBSERVED
MIDDLE_VERNON_2013,MIDDLE_VERNON,41554,279,07/10/2013,7,10,2013,865,OBSERVED
MIDDLE_VERNON_2013,MIDDLE_VERNON,41557,282,10/10/2013,10,10,2013,1079,OBSERVED
MIDDLE_VERNON_2013,MIDDLE_VERNON,41560,285,13/10/2013,13,10,2013,1105,OBSERVED
MIDDLE_VERNON_2013,MIDDLE_VERNON,41562,287,15/10/2013,15,10,2013,1256,OBSERVED
MIDDLE_VERNON_2013,MIDDLE_VERNON,41564,289,17/10/2013,17,10,2013,1135,OBSERVED
MIDDLE_VERNON_2013,MIDDLE_VERNON,41569,294,22/10/2013,22,10,2013,830,OBSERVED
MIDDLE_VERNON_2013,MIDDLE_VERNON,NA,303,31/10/2013,31,10,2013,0,ADDED_0
MIDDLE_VERNON_2014,MIDDLE_VERNON,NA,263,21/09/2014,21,9,2014,0,ADDED_0
MIDDLE_VERNON_2014,MIDDLE_VERNON,41910,270,28/09/2014,28,9,2014,211,OBSERVED
MIDDLE_VERNON_2014,MIDDLE_VERNON,41913,273,01/10/2014,1,10,2014,1322,OBSERVED
MIDDLE_VERNON_2014,MIDDLE_VERNON,41916,276,04/10/2014,4,10,2014,2100,OBSERVED
MIDDLE_VERNON_2014,MIDDLE_VERNON,41919,279,07/10/2014,7,10,2014,3230,OBSERVED
MIDDLE_VERNON_2014,MIDDLE_VERNON,41922,282,10/10/2014,10,10,2014,2645,OBSERVED
MIDDLE_VERNON_2014,MIDDLE_VERNON,41925,285,13/10/2014,13,10,2014,2697,OBSERVED
MIDDLE_VERNON_2014,MIDDLE_VERNON,41927,287,15/10/2014,15,10,2014,2432,OBSERVED
MIDDLE_VERNON_2014,MIDDLE_VERNON,41930,290,18/10/2014,18,10,2014,1938,OBSERVED
MIDDLE_VERNON_2014,MIDDLE_VERNON,41934,294,22/10/2014,22,10,2014,1097,OBSERVED
MIDDLE_VERNON_2014,MIDDLE_VERNON,NA,303,31/10/2014,31,10,2014,0,ADDED_0
MIDDLE_VERNON_2015,MIDDLE_VERNON,NA,263,21/09/2015,21,9,2015,0,ADDED_0
MIDDLE_VERNON_2015,MIDDLE_VERNON,42275,270,28/09/2015,28,9,2015,1,OBSERVED
MIDDLE_VERNON_2015,MIDDLE_VERNON,42278,273,01/10/2015,1,10,2015,3200,OBSERVED
MIDDLE_VERNON_2015,MIDDLE_VERNON,42281,276,04/10/2015,4,10,2015,5175,OBSERVED
MIDDLE_VERNON_2015,MIDDLE_VERNON,42284,279,07/10/2015,7,10,2015,7700,OBSERVED
MIDDLE_VERNON_2015,MIDDLE_VERNON,42287,282,10/10/2015,10,10,2015,9422,OBSERVED
MIDDLE_VERNON_2015,MIDDLE_VERNON,42290,285,13/10/2015,13,10,2015,8205,OBSERVED
MIDDLE_VERNON_2015,MIDDLE_VERNON,42292,287,15/10/2015,15,10,2015,6750,OBSERVED
MIDDLE_VERNON_2015,MIDDLE_VERNON,42295,290,18/10/2015,18,10,2015,4665,OBSERVED
MIDDLE_VERNON_2015,MIDDLE_VERNON,42299,294,22/10/2015,22,10,2015,1280,OBSERVED
