STREAM,REACH,DATE,YEAR,MONTH,DAY,NO_LIVE,NO_DEAD,TEMP_C,COMMENTS
MISSION,E,04/09/2001,2001,9,4,67,0,NA,NA
MISSION,E,05/09/2001,2001,9,5,113,0,NA,NA
MISSION,E,06/09/2001,2001,9,6,272,0,NA,NA
MISSION,E,07/09/2001,2001,9,7,550,3,NA,NA
MISSION,E,08/09/2001,2001,9,8,837,1,12.5,8 IN SETL.POND
MISSION,E,09/09/2001,2001,9,9,1110,0,NA,NA
MISSION,E,10/09/2001,2001,9,10,1556,5,15,3 IN SETL.POND
MISSION,E,10/09/2001,2001,9,10,1554,1,NA,NA
MISSION,E,11/09/2001,2001,9,11,2067,8,NA,NA
MISSION,E,12/09/2001,2001,9,12,2611,13,15,7 IN SETL.POND
MISSION,E,13/09/2001,2001,9,13,2788,8,NA,NA
MISSION,E,14/09/2001,2001,9,14,4175,38,13.5,18 IN SETL. PON
MISSION,E,14/09/2001,2001,9,14,4157,30,NA,NA
MISSION,E,15/09/2001,2001,9,15,4468,13,NA,NA
MISSION,E,16/09/2001,2001,9,16,3840,47,13.5,18 IN SETL. PON
MISSION,E,17/09/2001,2001,9,17,3370,54,NA,NA
MISSION,E,18/09/2001,2001,9,18,2845,273,16,11 IN SETL. PON
MISSION,E,18/09/2001,2001,9,18,2963,55,NA,NA
MISSION,E,19/09/2001,2001,9,19,2559,124,NA,NA
MISSION,E,20/09/2001,2001,9,20,1891,104,NA,NA
MISSION,E,21/09/2001,2001,9,21,1365,181,NA,NA
MISSION,E,22/09/2001,2001,9,22,1017,62,14,NA
MISSION,E,23/09/2001,2001,9,23,913,76,NA,NA
MISSION,E,24/09/2001,2001,9,24,728,67,13,NA
MISSION,E,25/09/2001,2001,9,25,472,61,NA,NA
MISSION,E,26/09/2001,2001,9,26,600,0,NA,NA
MISSION,E,26/09/2001,2001,9,26,281,33,NA,NA
MISSION,E,27/09/2001,2001,9,27,219,18,NA,NA
MISSION,E,28/09/2001,2001,9,28,257,25,NA,NA
MISSION,E,29/09/2001,2001,9,29,236,18,NA,NA
MISSION,E,30/09/2001,2001,9,30,198,9,NA,NA
MISSION,E,01/10/2001,2001,10,1,213,11,NA,NA
MISSION,E,02/10/2001,2001,10,2,196,7,NA,NA
MISSION,E,03/10/2001,2001,10,3,48,60,8.5,NA
MISSION,E,03/10/2001,2001,10,3,159,8,NA,NA
MISSION,E,04/10/2001,2001,10,4,130,2,NA,NA
MISSION,E,05/10/2001,2001,10,5,106,2,NA,NA
MISSION,E,06/10/2001,2001,10,6,85,1,NA,NA
MISSION,E,07/10/2001,2001,10,7,49,8,NA,NA
MISSION,E,08/10/2001,2001,10,8,34,5,NA,NA
MISSION,E,09/10/2001,2001,10,9,27,2,NA,NA
MISSION,E,10/10/2001,2001,10,10,17,3,NA,NA
MISSION,E,11/10/2001,2001,10,11,10,1,NA,NA
MISSION,E,01/09/2002,2002,9,1,0,0,NA,CHANNEL
MISSION,E,02/09/2002,2002,9,2,3,0,NA,CHANNEL
MISSION,E,03/09/2002,2002,9,3,25,0,NA,CHANNEL
MISSION,E,04/09/2002,2002,9,4,20,1,NA,CHANNEL
MISSION,E,05/09/2002,2002,9,5,32,1,NA,CHANNEL
