SPECIES,YEAR,STREAM,PEAK_COUNT,l,v,FENCE_COUNT,TAUC_E,HARR_E,GAUC_E
PINK,1990,CATHEAD,2100,9.8,0.825,7971,7213,7170,7131
PINK,1990,HERRING,2700,11.4,0.888,4927,4338,4700,14957
PINK,1990,IRISH,24500,18.1,0.499,44900,54987,52401,53479
PINK,1991,CATHEAD,1500,11,0.246,9630,8501,8339,8420
PINK,1991,CHENEGA,7300,10.2,0.234,49769,58962,59683,59761
PINK,1991,COUNTESS,5400,9.7,0.456,15028,13829,13307,14046
PINK,1991,HAWKINS,12300,15.6,0.406,40433,37383,37939,38410
PINK,1991,HAYDEN,5100,11.7,0.485,18372,13032,12395,12747
PINK,1991,HERRING,4500,11.8,0.371,13022,16508,16005,17409
PINK,1991,IRISH,17000,16,0.177,95034,140442,100369,124278
PINK,1991,LOOMIS,3000,6.8,0.322,20315,23666,26035,30924
